c,L,instance,realization,payoff
0.1,0,5,0,358.11979203502085
0.1,0,5,1,337.89769175597576
0.1,0,5,2,354.35118863927835
0.1,0,5,3,351.8700867020649
0.1,0,5,4,359.5691852268109
0.1,0,5,5,328.4755233091499
0.1,0,5,6,348.52751417888726
0.1,0,5,7,353.42845224728023
0.1,0,5,8,337.3599684009914
0.1,0,5,9,343.4978210693821
0.1,0,5,10,346.86301898055353
0.1,0,5,11,345.94470702031253
0.1,0,5,12,348.0244048462365
0.1,0,5,13,352.18119961363243
0.1,0,5,14,343.41977260265764
0.1,0,5,15,346.09834796895257
0.1,0,5,16,342.70146870344513
0.1,0,5,17,354.30126205463523
0.1,0,5,18,346.56056100497005
0.1,0,5,19,344.0185870967382
0.1,0,5,20,338.7354731618344
0.1,0,5,21,346.3819062809619
0.1,0,5,22,349.7991879040088
0.1,0,5,23,351.6370087824031
0.1,0,5,24,345.1805030022177
0.1,0,5,25,348.4923414972476
0.1,0,5,26,349.1352379559554
0.1,0,5,27,356.1773497952579
0.1,0,5,28,353.30732114619195
0.1,0,5,29,345.34937223449276
0.1,2,5,0,360.93916929871614
0.1,2,5,1,339.55296307956394
0.1,2,5,2,357.50380224459013
0.1,2,5,3,355.06667839825263
0.1,2,5,4,361.82845213918733
0.1,2,5,5,330.4427020203519
0.1,2,5,6,351.17543750890763
0.1,2,5,7,355.4213772738676
0.1,2,5,8,340.1430292236176
0.1,2,5,9,345.3309914360642
0.1,2,5,10,350.73044831436766
0.1,2,5,11,348.42213019026565
0.1,2,5,12,350.71474577341394
0.1,2,5,13,356.05261252112257
0.1,2,5,14,345.0519621517417
0.1,2,5,15,348.528650724047
0.1,2,5,16,346.24016761193434
0.1,2,5,17,356.32418712050946
0.1,2,5,18,350.0880838855065
0.1,2,5,19,346.0831665004498
0.1,2,5,20,340.743697814032
0.1,2,5,21,349.4928617724653
0.1,2,5,22,354.075979635357
0.1,2,5,23,353.95911126965586
0.1,2,5,24,348.16687554552345
0.1,2,5,25,351.9373632861238
0.1,2,5,26,352.0870855665745
0.1,2,5,27,358.0172431477035
0.1,2,5,28,355.3219080216851
0.1,2,5,29,348.0140856110359
0.1,4,5,0,360.93916929871614
0.1,4,5,1,339.55296307956394
0.1,4,5,2,357.50380224459013
0.1,4,5,3,355.06667839825263
0.1,4,5,4,361.82845213918733
0.1,4,5,5,330.4427020203519
0.1,4,5,6,351.17543750890763
0.1,4,5,7,355.4213772738676
0.1,4,5,8,340.1430292236176
0.1,4,5,9,345.3309914360642
0.1,4,5,10,350.73044831436766
0.1,4,5,11,348.42213019026565
0.1,4,5,12,350.71474577341394
0.1,4,5,13,356.05261252112257
0.1,4,5,14,345.0519621517417
0.1,4,5,15,348.528650724047
0.1,4,5,16,346.24016761193434
0.1,4,5,17,356.32418712050946
0.1,4,5,18,350.0880838855065
0.1,4,5,19,346.0831665004498
0.1,4,5,20,340.743697814032
0.1,4,5,21,349.4928617724653
0.1,4,5,22,354.075979635357
0.1,4,5,23,353.95911126965586
0.1,4,5,24,348.16687554552345
0.1,4,5,25,351.9373632861238
0.1,4,5,26,352.0870855665745
0.1,4,5,27,358.0172431477035
0.1,4,5,28,355.3219080216851
0.1,4,5,29,348.0140856110359
0.1,6,5,0,360.93916929871614
0.1,6,5,1,339.55296307956394
0.1,6,5,2,357.50380224459013
0.1,6,5,3,355.06667839825263
0.1,6,5,4,361.82845213918733
0.1,6,5,5,330.4427020203519
0.1,6,5,6,351.17543750890763
0.1,6,5,7,355.4213772738676
0.1,6,5,8,340.1430292236176
0.1,6,5,9,345.3309914360642
0.1,6,5,10,350.73044831436766
0.1,6,5,11,348.42213019026565
0.1,6,5,12,350.71474577341394
0.1,6,5,13,356.05261252112257
0.1,6,5,14,345.0519621517417
0.1,6,5,15,348.528650724047
0.1,6,5,16,346.24016761193434
0.1,6,5,17,356.32418712050946
0.1,6,5,18,350.0880838855065
0.1,6,5,19,346.0831665004498
0.1,6,5,20,340.743697814032
0.1,6,5,21,349.4928617724653
0.1,6,5,22,354.075979635357
0.1,6,5,23,353.95911126965586
0.1,6,5,24,348.16687554552345
0.1,6,5,25,351.9373632861238
0.1,6,5,26,352.0870855665745
0.1,6,5,27,358.0172431477035
0.1,6,5,28,355.3219080216851
0.1,6,5,29,348.0140856110359
0.1,12,5,0,360.93916929871614
0.1,12,5,1,339.55296307956394
0.1,12,5,2,357.50380224459013
0.1,12,5,3,355.06667839825263
0.1,12,5,4,361.82845213918733
0.1,12,5,5,330.4427020203519
0.1,12,5,6,351.17543750890763
0.1,12,5,7,355.4213772738676
0.1,12,5,8,340.1430292236176
0.1,12,5,9,345.3309914360642
0.1,12,5,10,350.73044831436766
0.1,12,5,11,348.42213019026565
0.1,12,5,12,350.71474577341394
0.1,12,5,13,356.05261252112257
0.1,12,5,14,345.0519621517417
0.1,12,5,15,348.528650724047
0.1,12,5,16,346.24016761193434
0.1,12,5,17,356.32418712050946
0.1,12,5,18,350.0880838855065
0.1,12,5,19,346.0831665004498
0.1,12,5,20,340.743697814032
0.1,12,5,21,349.4928617724653
0.1,12,5,22,354.075979635357
0.1,12,5,23,353.95911126965586
0.1,12,5,24,348.16687554552345
0.1,12,5,25,351.9373632861238
0.1,12,5,26,352.0870855665745
0.1,12,5,27,358.0172431477035
0.1,12,5,28,355.3219080216851
0.1,12,5,29,348.0140856110359
0.2,0,5,0,472.81547143260707
0.2,0,5,1,451.5690172026942
0.2,0,5,2,465.5112963866189
0.2,0,5,3,465.6642408828037
0.2,0,5,4,472.6770503052922
0.2,0,5,5,442.9538103723781
0.2,0,5,6,457.7451336292671
0.2,0,5,7,467.5860291088
0.2,0,5,8,451.88801930616
0.2,0,5,9,454.67561451125795
0.2,0,5,10,459.5187842356679
0.2,0,5,11,459.33585893170425
0.2,0,5,12,460.4242976297141
0.2,0,5,13,463.6406878337091
0.2,0,5,14,455.5713673251486
0.2,0,5,15,458.81704006227613
0.2,0,5,16,457.43177249012496
0.2,0,5,17,466.6628786813822
0.2,0,5,18,459.33679489427107
0.2,0,5,19,458.5186409170546
0.2,0,5,20,452.12157986335677
0.2,0,5,21,461.74483161800845
0.2,0,5,22,465.28305164284274
0.2,0,5,23,463.3856174256142
0.2,0,5,24,460.6915788329161
0.2,0,5,25,461.5945902528198
0.2,0,5,26,462.52041178037916
0.2,0,5,27,468.4270359292381
0.2,0,5,28,466.653444629388
0.2,0,5,29,459.3054574378832
0.2,2,5,0,481.08657671872857
0.2,2,5,1,459.80936188092824
0.2,2,5,2,474.9214405209183
0.2,2,5,3,474.1240326083571
0.2,2,5,4,482.1615487069042
0.2,2,5,5,450.3745848419112
0.2,2,5,6,466.9471039249213
0.2,2,5,7,474.3698912294723
0.2,2,5,8,462.0137503051403
0.2,2,5,9,462.52092824246597
0.2,2,5,10,468.14903130638754
0.2,2,5,11,469.18213071659886
0.2,2,5,12,469.6616785818014
0.2,2,5,13,474.7196276757751
0.2,2,5,14,467.24562669761156
0.2,2,5,15,466.0136621460945
0.2,2,5,16,466.5108029478075
0.2,2,5,17,476.18326753761016
0.2,2,5,18,470.91674697011274
0.2,2,5,19,469.00516742992886
0.2,2,5,20,461.94866237805627
0.2,2,5,21,472.71048619652265
0.2,2,5,22,478.64336762443804
0.2,2,5,23,473.2719921373914
0.2,2,5,24,468.71405469601314
0.2,2,5,25,469.0409015295479
0.2,2,5,26,472.8609259629768
0.2,2,5,27,479.4904535815074
0.2,2,5,28,475.8399348162885
0.2,2,5,29,468.1174422408458
0.2,4,5,0,485.72854462689077
0.2,4,5,1,464.44499497337785
0.2,4,5,2,478.21578469759896
0.2,4,5,3,479.16293155781716
0.2,4,5,4,485.5347457937572
0.2,4,5,5,455.2919245992474
0.2,4,5,6,470.74797731048403
0.2,4,5,7,478.43279104696126
0.2,4,5,8,465.1254274830656
0.2,4,5,9,467.6481003844366
0.2,4,5,10,471.6698010516446
0.2,4,5,11,472.83810937211257
0.2,4,5,12,472.1288176443266
0.2,4,5,13,478.58903621521534
0.2,4,5,14,471.24068434900863
0.2,4,5,15,470.13466795837957
0.2,4,5,16,470.57690502211193
0.2,4,5,17,480.1131929942081
0.2,4,5,18,473.9234031864221
0.2,4,5,19,472.2004919903216
0.2,4,5,20,464.5159579156923
0.2,4,5,21,476.0182580457546
0.2,4,5,22,482.07800403114845
0.2,4,5,23,476.93687575685874
0.2,4,5,24,473.64537759701705
0.2,4,5,25,473.887662239603
0.2,4,5,26,476.76613053626613
0.2,4,5,27,484.15422195808173
0.2,4,5,28,479.1093086968979
0.2,4,5,29,471.8034905946812
0.2,6,5,0,485.3761707139374
0.2,6,5,1,464.8926210604244
0.2,6,5,2,478.2727550567855
0.2,6,5,3,479.5274173331353
0.2,6,5,4,485.58237188080386
0.2,6,5,5,455.33955068629405
0.2,6,5,6,470.7956033975306
0.2,6,5,7,478.6040531928096
0.2,6,5,8,464.7730535701122
0.2,6,5,9,467.4139373218661
0.2,6,5,10,471.3174271386912
0.2,6,5,11,472.4857354591592
0.2,6,5,12,472.5764437313733
0.2,6,5,13,479.036662302262
0.2,6,5,14,471.2883104360552
0.2,6,5,15,470.07395342250277
0.2,6,5,16,470.6245311091585
0.2,6,5,17,480.56081908125475
0.2,6,5,18,473.57102927346875
0.2,6,5,19,472.6481180773683
0.2,6,5,20,464.84396382848206
0.2,6,5,21,476.12455091370236
0.2,6,5,22,482.45286745496867
0.2,6,5,23,477.38450184390535
0.2,6,5,24,474.0707473563614
0.2,6,5,25,474.33528832664956
0.2,6,5,26,477.07890059294687
0.2,6,5,27,483.8018480451284
0.2,6,5,28,479.222683045979
0.2,6,5,29,471.85111668172783
0.2,12,5,0,485.3761707139374
0.2,12,5,1,464.8926210604244
0.2,12,5,2,478.2727550567855
0.2,12,5,3,479.5274173331353
0.2,12,5,4,485.58237188080386
0.2,12,5,5,455.33955068629405
0.2,12,5,6,470.7956033975306
0.2,12,5,7,478.6040531928096
0.2,12,5,8,464.7730535701122
0.2,12,5,9,467.4139373218661
0.2,12,5,10,471.3174271386912
0.2,12,5,11,472.4857354591592
0.2,12,5,12,472.5764437313733
0.2,12,5,13,479.036662302262
0.2,12,5,14,471.2883104360552
0.2,12,5,15,470.07395342250277
0.2,12,5,16,470.6245311091585
0.2,12,5,17,480.56081908125475
0.2,12,5,18,473.57102927346875
0.2,12,5,19,472.6481180773683
0.2,12,5,20,464.84396382848206
0.2,12,5,21,476.12455091370236
0.2,12,5,22,482.45286745496867
0.2,12,5,23,477.38450184390535
0.2,12,5,24,474.0707473563614
0.2,12,5,25,474.33528832664956
0.2,12,5,26,477.07890059294687
0.2,12,5,27,483.8018480451284
0.2,12,5,28,479.222683045979
0.2,12,5,29,471.85111668172783
0.3,0,5,0,591.6855629376346
0.3,0,5,1,571.2840445528312
0.3,0,5,2,583.2773293998662
0.3,0,5,3,585.1848808974651
0.3,0,5,4,593.233050354268
0.3,0,5,5,565.841540371742
0.3,0,5,6,576.5761552856032
0.3,0,5,7,588.0198989666806
0.3,0,5,8,573.2474950571428
0.3,0,5,9,572.6652920370793
0.3,0,5,10,579.473906645029
0.3,0,5,11,580.3217560537215
0.3,0,5,12,578.0611460958058
0.3,0,5,13,582.3887913276112
0.3,0,5,14,575.4844227255412
0.3,0,5,15,576.5796072988355
0.3,0,5,16,578.0156965181577
0.3,0,5,17,584.1143709447465
0.3,0,5,18,579.4532999152682
0.3,0,5,19,579.8297637212218
0.3,0,5,20,571.5131379762213
0.3,0,5,21,583.2491226411439
0.3,0,5,22,586.4143490389049
0.3,0,5,23,581.1184333456041
0.3,0,5,24,581.6414134600664
0.3,0,5,25,579.574129371384
0.3,0,5,26,583.703843912285
0.3,0,5,27,587.4576826013438
0.3,0,5,28,584.6422697740827
0.3,0,5,29,579.0434008312772
0.3,2,5,0,612.175504699097
0.3,2,5,1,587.8797645383739
0.3,2,5,2,604.0178024584791
0.3,2,5,3,605.7998198520953
0.3,2,5,4,614.1819043860253
0.3,2,5,5,587.6062339308204
0.3,2,5,6,596.4863605163487
0.3,2,5,7,608.6686611745431
0.3,2,5,8,595.416990291732
0.3,2,5,9,594.6071612233176
0.3,2,5,10,600.7250823270386
0.3,2,5,11,603.431197768876
0.3,2,5,12,600.2225912871663
0.3,2,5,13,603.4807549089745
0.3,2,5,14,596.7539632599089
0.3,2,5,15,595.7128510579342
0.3,2,5,16,597.1962588067994
0.3,2,5,17,609.0280482841972
0.3,2,5,18,607.0926246930464
0.3,2,5,19,603.2480446653215
0.3,2,5,20,594.6929354201834
0.3,2,5,21,605.1460144369568
0.3,2,5,22,613.845159046358
0.3,2,5,23,599.8593587079808
0.3,2,5,24,602.0979893937497
0.3,2,5,25,598.4619773656812
0.3,2,5,26,609.3810888134651
0.3,2,5,27,614.7202094710227
0.3,2,5,28,604.6892973665335
0.3,2,5,29,600.6634418469607
0.3,4,5,0,616.7981668672923
0.3,4,5,1,595.4656025883686
0.3,4,5,2,611.170588842913
0.3,4,5,3,610.8122394204769
0.3,4,5,4,618.5224500390457
0.3,4,5,5,592.6068156684688
0.3,4,5,6,603.9649974823546
0.3,4,5,7,610.5666347570726
0.3,4,5,8,600.197831110935
0.3,4,5,9,601.6586473897323
0.3,4,5,10,605.6372199295121
0.3,4,5,11,609.7134007082146
0.3,4,5,12,606.7990071089392
0.3,4,5,13,610.8636572231993
0.3,4,5,14,605.2083170610872
0.3,4,5,15,601.9098785274326
0.3,4,5,16,600.4393183886068
0.3,4,5,17,611.6450502873903
0.3,4,5,18,612.0973029445923
0.3,4,5,19,608.6415423647744
0.3,4,5,20,600.0140899721126
0.3,4,5,21,612.1801076027241
0.3,4,5,22,621.0630578177137
0.3,4,5,23,601.7617272212699
0.3,4,5,24,607.7237425211694
0.3,4,5,25,606.2074487188686
0.3,4,5,26,614.7361087155607
0.3,4,5,27,620.7243835680255
0.3,4,5,28,607.3796775075863
0.3,4,5,29,605.975991830214
0.3,6,5,0,621.4630326185255
0.3,6,5,1,601.7222241206474
0.3,6,5,2,616.0165058924333
0.3,6,5,3,617.4466226146886
0.3,6,5,4,626.1380882825257
0.3,6,5,5,599.0167258302424
0.3,6,5,6,609.7891968086739
0.3,6,5,7,617.1426729953135
0.3,6,5,8,608.1992657998429
0.3,6,5,9,608.1795687955163
0.3,6,5,10,609.4115786279339
0.3,6,5,11,614.8810584381641
0.3,6,5,12,614.7879495647975
0.3,6,5,13,615.9513769336367
0.3,6,5,14,615.078090163186
0.3,6,5,15,609.8557402596148
0.3,6,5,16,610.231217024487
0.3,6,5,17,615.8863441686572
0.3,6,5,18,616.3559152382219
0.3,6,5,19,613.3381620046798
0.3,6,5,20,608.3586344734097
0.3,6,5,21,618.281756449486
0.3,6,5,22,627.2897099192402
0.3,6,5,23,609.8586362204312
0.3,6,5,24,612.0666669547687
0.3,6,5,25,610.9917798489801
0.3,6,5,26,619.781580776675
0.3,6,5,27,628.5066239742433
0.3,6,5,28,613.5344124374433
0.3,6,5,29,612.3028486357415
0.3,12,5,0,624.460565795639
0.3,12,5,1,608.5606868852574
0.3,12,5,2,620.9895829663151
0.3,12,5,3,620.6181901409577
0.3,12,5,4,630.3726291263799
0.3,12,5,5,603.6129478415608
0.3,12,5,6,615.351245987292
0.3,12,5,7,621.1921134469478
0.3,12,5,8,612.9996480794414
0.3,12,5,9,612.1042017811235
0.3,12,5,10,612.0493965358929
0.3,12,5,11,618.431622756726
0.3,12,5,12,620.9245327716508
0.3,12,5,13,620.3645863656816
0.3,12,5,14,620.2957768956815
0.3,12,5,15,613.9174431057531
0.3,12,5,16,614.1576778431729
0.3,12,5,17,620.277453887091
0.3,12,5,18,622.0181238273542
0.3,12,5,19,617.7236120649989
0.3,12,5,20,613.3630931909577
0.3,12,5,21,623.0549404167905
0.3,12,5,22,632.3140775099744
0.3,12,5,23,615.1125803249425
0.3,12,5,24,614.7121317371284
0.3,12,5,25,615.7591182804761
0.3,12,5,26,625.4907145034867
0.3,12,5,27,633.1987189271315
0.3,12,5,28,616.1932493716963
0.3,12,5,29,616.8599368948493
0.4,0,5,0,716.844461474633
0.4,0,5,1,696.6798286638423
0.4,0,5,2,708.4103962309935
0.4,0,5,3,710.2744967416427
0.4,0,5,4,721.1820425482454
0.4,0,5,5,694.5138120657612
0.4,0,5,6,702.0716622301824
0.4,0,5,7,713.886091780716
0.4,0,5,8,701.7984058969523
0.4,0,5,9,696.8331929248263
0.4,0,5,10,706.4661672184891
0.4,0,5,11,706.7348152831859
0.4,0,5,12,703.2461163902396
0.4,0,5,13,707.3302933272231
0.4,0,5,14,703.2321554208874
0.4,0,5,15,700.7031252424106
0.4,0,5,16,704.4368662212231
0.4,0,5,17,709.2671700904133
0.4,0,5,18,706.064024443288
0.4,0,5,19,707.0783477475107
0.4,0,5,20,697.7908309039178
0.4,0,5,21,711.322955072068
0.4,0,5,22,713.8570333333435
0.4,0,5,23,705.687887498312
0.4,0,5,24,707.4959643759182
0.4,0,5,25,705.2268013024834
0.4,0,5,26,710.9591836547457
0.4,0,5,27,713.2648948947913
0.4,0,5,28,709.199386570795
0.4,0,5,29,704.4925259009026
0.4,2,5,0,735.9149137736558
0.4,2,5,1,715.8552816690852
0.4,2,5,2,728.4986894503286
0.4,2,5,3,730.2611173207919
0.4,2,5,4,734.8490696550163
0.4,2,5,5,715.044103385186
0.4,2,5,6,719.2140661495357
0.4,2,5,7,730.2826912755598
