c,L,instance,realization,payoff
0.1,0,2,0,371.5890616966015
0.1,0,2,1,350.34582805942637
0.1,0,2,2,365.83710404927285
0.1,0,2,3,363.38930616538994
0.1,0,2,4,373.56585087538093
0.1,0,2,5,340.6245613444731
0.1,0,2,6,360.0116524899502
0.1,0,2,7,363.592126433492
0.1,0,2,8,349.057557509377
0.1,0,2,9,356.03437901052445
0.1,0,2,10,359.9716715763342
0.1,0,2,11,354.73121967327404
0.1,0,2,12,358.8010846670677
0.1,0,2,13,362.80022775673444
0.1,0,2,14,352.87677580644583
0.1,0,2,15,356.36339807832377
0.1,0,2,16,354.92591359824996
0.1,0,2,17,364.50226336792116
0.1,0,2,18,357.914502528013
0.1,0,2,19,356.9906351943273
0.1,0,2,20,348.8700841202137
0.1,0,2,21,356.05740344989385
0.1,0,2,22,360.2793384483455
0.1,0,2,23,363.1971164735806
0.1,0,2,24,355.6326051274268
0.1,0,2,25,361.3557117185661
0.1,0,2,26,362.0397687978954
0.1,0,2,27,365.8591576511778
0.1,0,2,28,364.2480767086758
0.1,0,2,29,357.68360264943726
0.1,2,2,0,375.32900715567905
0.1,2,2,1,353.67480772981173
0.1,2,2,2,369.43054521905697
0.1,2,2,3,368.06387244416953
0.1,2,2,4,377.1866131402203
0.1,2,2,5,344.14106016044667
0.1,2,2,6,363.0276007569554
0.1,2,2,7,367.4885342987139
0.1,2,2,8,353.4513358681641
0.1,2,2,9,359.9104429394131
0.1,2,2,10,362.90624880486735
0.1,2,2,11,359.41514383269157
0.1,2,2,12,362.08379391818437
0.1,2,2,13,367.4184251569326
0.1,2,2,14,357.76914811346285
0.1,2,2,15,359.87626369874897
0.1,2,2,16,358.7727443473383
0.1,2,2,17,368.55808723251005
0.1,2,2,18,362.2920782360583
0.1,2,2,19,360.3006115954547
0.1,2,2,20,352.9599839216671
0.1,2,2,21,360.30425520542275
0.1,2,2,22,364.6791894449367
0.1,2,2,23,366.8916032374256
0.1,2,2,24,359.6825788481955
0.1,2,2,25,364.205826538367
0.1,2,2,26,365.94239982474005
0.1,2,2,27,370.544353975356
0.1,2,2,28,367.49508632806305
0.1,2,2,29,361.3306244410612
0.1,4,2,0,375.4217540371983
0.1,4,2,1,353.76755461133104
0.1,4,2,2,369.3232921005762
0.1,4,2,3,367.95661932568873
0.1,4,2,4,377.1968442972066
0.1,4,2,5,344.2338070419659
0.1,4,2,6,363.12034763847464
0.1,4,2,7,367.58128118023313
0.1,4,2,8,353.34408274968337
0.1,4,2,9,360.00318982093233
0.1,4,2,10,362.7989956863866
0.1,4,2,11,359.30789071421077
0.1,4,2,12,362.1765407997036
0.1,4,2,13,367.3111720384518
0.1,4,2,14,357.8618949949821
0.1,4,2,15,359.7690105802682
0.1,4,2,16,358.78007313589103
0.1,4,2,17,368.65083411402935
0.1,4,2,18,362.1848251175775
0.1,4,2,19,360.19335847697397
0.1,4,2,20,352.85273080318643
0.1,4,2,21,360.3947157143889
0.1,4,2,22,364.77193632645594
0.1,4,2,23,366.98435011894486
0.1,4,2,24,359.7753257297147
0.1,4,2,25,364.0985734198862
