c,L,instance,realization,payoff
0.1,0,9,0,368.11538275252883
0.1,0,9,1,345.26322169066407
0.1,0,9,2,363.9617542539164
0.1,0,9,3,359.8295638186347
0.1,0,9,4,367.98258345601334
0.1,0,9,5,336.8878844571137
0.1,0,9,6,358.71402508845256
0.1,0,9,7,361.0989829266339
0.1,0,9,8,346.2457385118696
0.1,0,9,9,351.8149021723243
0.1,0,9,10,356.00692089803067
0.1,0,9,11,351.7083807180643
0.1,0,9,12,355.3244998132243
0.1,0,9,13,361.76958603373805
0.1,0,9,14,351.21738274324855
0.1,0,9,15,353.2916268013703
0.1,0,9,16,351.885952711433
0.1,0,9,17,363.6752253300149
0.1,0,9,18,355.0982140663657
0.1,0,9,19,353.98148835274924
0.1,0,9,20,345.3477927129379
0.1,0,9,21,352.85269082639263
0.1,0,9,22,355.3694643636545
0.1,0,9,23,360.11194381896286
0.1,0,9,24,353.3627451617764
0.1,0,9,25,356.2577892435303
0.1,0,9,26,357.01446121968365
0.1,0,9,27,360.99201644468303
0.1,0,9,28,363.5611248844046
0.1,0,9,29,353.0679580528009
0.1,2,9,0,370.77725498824293
0.1,2,9,1,348.0941555737164
0.1,2,9,2,366.2833189348767
0.1,2,9,3,362.1766961672572
0.1,2,9,4,371.4651368257074
0.1,2,9,5,339.17954449565946
0.1,2,9,6,361.5900726632027
0.1,2,9,7,362.95965312263786
0.1,2,9,8,349.4117114312926
0.1,2,9,9,353.66552402107516
0.1,2,9,10,358.9113720601048
0.1,2,9,11,354.6243657669927
0.1,2,9,12,357.7806244607028
0.1,2,9,13,364.71396211265824
0.1,2,9,14,354.13399620262305
0.1,2,9,15,356.3980738118785
0.1,2,9,16,353.83092939739424
0.1,2,9,17,366.52774040149836
0.1,2,9,18,358.1674437709721
0.1,2,9,19,356.56557220901766
0.1,2,9,20,348.3404577599759
0.1,2,9,21,355.66339992119913
0.1,2,9,22,358.476694516055
0.1,2,9,23,363.077860384945
0.1,2,9,24,356.8335524406242
0.1,2,9,25,359.61425719856385
0.1,2,9,26,360.4195279898464
0.1,2,9,27,362.891644277688
0.1,2,9,28,367.255430515732
0.1,2,9,29,356.72669755749627
0.1,4,9,0,370.88080361463335
0.1,4,9,1,348.19770420010684
0.1,4,9,2,366.5868675612671
0.1,4,9,3,362.48024479364767
0.1,4,9,4,371.56868545209784
0.1,4,9,5,339.2830931220499
0.1,4,9,6,361.6936212895931
0.1,4,9,7,363.26320174902827
0.1,4,9,8,349.715260057683
0.1,4,9,9,353.96907264746557
0.1,4,9,10,359.0695379281814
0.1,4,9,11,354.9077969672338
0.1,4,9,12,357.88417308709325
0.1,4,9,13,364.97391470884793
0.1,4,9,14,354.43754482901346
0.1,4,9,15,356.70162243826894
0.1,4,9,16,354.1344780237847
0.1,4,9,17,366.6312890278887
0.1,4,9,18,358.4709923973626
0.1,4,9,19,356.6691208354081
0.1,4,9,20,348.4440063863663
0.1,4,9,21,355.96694854758954
0.1,4,9,22,358.77379303876444
0.1,4,9,23,363.18140901133535
0.1,4,9,24,356.96707383688624
0.1,4,9,25,359.71780582495427
0.1,4,9,26,360.7230766162369
0.1,4,9,27,363.19519290407834
0.1,4,9,28,367.55897914212244
0.1,4,9,29,356.8302461838867
0.1,6,9,0,370.88080361463335
0.1,6,9,1,348.19770420010684
0.1,6,9,2,366.5868675612671
0.1,6,9,3,362.48024479364767
0.1,6,9,4,371.56868545209784
0.1,6,9,5,339.2830931220499
0.1,6,9,6,361.6936212895931
0.1,6,9,7,363.26320174902827
0.1,6,9,8,349.715260057683
0.1,6,9,9,353.96907264746557
0.1,6,9,10,359.0695379281814
0.1,6,9,11,354.9077969672338
0.1,6,9,12,357.88417308709325
0.1,6,9,13,364.97391470884793
0.1,6,9,14,354.43754482901346
0.1,6,9,15,356.70162243826894
0.1,6,9,16,354.1344780237847
0.1,6,9,17,366.6312890278887
0.1,6,9,18,358.4709923973626
0.1,6,9,19,356.6691208354081
0.1,6,9,20,348.4440063863663
0.1,6,9,21,355.96694854758954
0.1,6,9,22,358.77379303876444
0.1,6,9,23,363.18140901133535
0.1,6,9,24,356.96707383688624
0.1,6,9,25,359.71780582495427
0.1,6,9,26,360.7230766162369
0.1,6,9,27,363.19519290407834
0.1,6,9,28,367.55897914212244
0.1,6,9,29,356.8302461838867
0.1,12,9,0,370.88080361463335
