c,L,instance,realization,payoff
0.1,0,7,0,373.07359269322865
0.1,0,7,1,351.5591104171473
0.1,0,7,2,370.1370786482613
0.1,0,7,3,365.26539767239717
0.1,0,7,4,373.76676038382186
0.1,0,7,5,342.38002504137955
0.1,0,7,6,364.32388892377685
0.1,0,7,7,364.97144349711186
0.1,0,7,8,351.75408138487626
0.1,0,7,9,358.49828276152266
0.1,0,7,10,362.2843724979366
0.1,0,7,11,358.55839765766973
0.1,0,7,12,360.7242307829349
0.1,0,7,13,366.9975135285981
0.1,0,7,14,356.69567326291553
0.1,0,7,15,358.01228357993375
0.1,0,7,16,354.58880661222906
0.1,0,7,17,368.27418147460287
0.1,0,7,18,357.93202878523346
0.1,0,7,19,358.20865287049776
0.1,0,7,20,353.35820447464187
0.1,0,7,21,360.2162415341079
0.1,0,7,22,361.93035818078283
0.1,0,7,23,366.8964424014697
0.1,0,7,24,356.1969091370537
0.1,0,7,25,363.03551165424005
0.1,0,7,26,362.5118476384921
0.1,0,7,27,365.76126913672545
0.1,0,7,28,367.0784138073236
0.1,0,7,29,361.21171312003526
0.1,2,7,0,377.0446322335015
0.1,2,7,1,356.210077047341
0.1,2,7,2,373.7903861302823
0.1,2,7,3,369.2975611480826
0.1,2,7,4,376.86410519227144
0.1,2,7,5,346.04777711352756
0.1,2,7,6,367.9139421665699
0.1,2,7,7,368.4844836767959
0.1,2,7,8,355.21905709258726
0.1,2,7,9,362.77575601040115
0.1,2,7,10,365.8596065233669
0.1,2,7,11,361.94516317173765
0.1,2,7,12,365.06273374180296
0.1,2,7,13,371.1799470333624
0.1,2,7,14,360.9783217463275
0.1,2,7,15,362.3579172580722
0.1,2,7,16,358.6000827105043
0.1,2,7,17,373.1819551394238
0.1,2,7,18,361.42947952223017
0.1,2,7,19,361.17718992062623
0.1,2,7,20,357.0708294358783
0.1,2,7,21,363.4101705324167
0.1,2,7,22,365.6489488915533
0.1,2,7,23,370.3477119934727
0.1,2,7,24,360.02583462397297
0.1,2,7,25,366.29550912878835
0.1,2,7,26,366.09786828963536
0.1,2,7,27,369.8296452088032
0.1,2,7,28,371.2792577024418
0.1,2,7,29,364.77790380296005
0.1,4,7,0,377.3158267037809
0.1,4,7,1,356.28127151762044
0.1,4,7,2,374.06158060056174
