c,L,instance,realization,payoff
0.1,0,8,0,353.8143111498546
0.1,0,8,1,333.92664510838165
0.1,0,8,2,353.75697914745234
0.1,0,8,3,349.1208370100743
0.1,0,8,4,358.2616854386784
0.1,0,8,5,324.78297255757354
0.1,0,8,6,346.6871197416383
0.1,0,8,7,347.67888966275007
0.1,0,8,8,331.1555979944643
0.1,0,8,9,341.0756334439252
0.1,0,8,10,344.8495946098396
0.1,0,8,11,340.5042196984447
0.1,0,8,12,343.0638191735518
0.1,0,8,13,348.86315992689384
0.1,0,8,14,339.8514319769529
0.1,0,8,15,341.63884804500134
0.1,0,8,16,341.0704988238214
0.1,0,8,17,350.6717664390786
0.1,0,8,18,341.6930330121613
0.1,0,8,19,338.64671330217357
0.1,0,8,20,334.22286198902685
0.1,0,8,21,341.23676414384204
0.1,0,8,22,344.1369144577363
0.1,0,8,23,349.1438810600647
0.1,0,8,24,340.0701395875958
0.1,0,8,25,346.79250942655983
0.1,0,8,26,346.7961609823394
0.1,0,8,27,351.98243593984637
0.1,0,8,28,349.9172999430739
0.1,0,8,29,340.86192843182846
0.1,2,8,0,358.96818946938083
0.1,2,8,1,339.44655355848886
0.1,2,8,2,357.7272251805548
0.1,2,8,3,355.1414203378275
0.1,2,8,4,362.48918396272995
0.1,2,8,5,330.61392974077853
0.1,2,8,6,351.775348256458
0.1,2,8,7,353.07369109358024
0.1,2,8,8,336.8756531268998
0.1,2,8,9,346.214330279132
0.1,2,8,10,348.61712447113416
0.1,2,8,11,345.9626812902351
0.1,2,8,12,348.2774281947673
0.1,2,8,13,353.8592440980981
0.1,2,8,14,344.2057873251334
0.1,2,8,15,347.3756924115421
0.1,2,8,16,345.0925479298604
0.1,2,8,17,355.3659154392555
0.1,2,8,18,347.1456449243195
0.1,2,8,19,343.1820942084063
0.1,2,8,20,339.23114508956974
0.1,2,8,21,346.7101389529655
0.1,2,8,22,349.7387473218773
0.1,2,8,23,353.3065223333597
0.1,2,8,24,345.6016875982839
0.1,2,8,25,352.3045928926622
0.1,2,8,26,351.7897354280391
0.1,2,8,27,357.99704858730394
