c,L,instance,realization,payoff
0.1,0,3,0,365.42138714782146
0.1,0,3,1,343.3456888416467
0.1,0,3,2,360.8105001881042
0.1,0,3,3,356.08822166655176
0.1,0,3,4,366.1605349977309
0.1,0,3,5,336.09319017188585
0.1,0,3,6,355.6253532761209
0.1,0,3,7,359.391110491455
0.1,0,3,8,343.77193977724187
0.1,0,3,9,351.19457595227186
0.1,0,3,10,352.9499846798872
0.1,0,3,11,351.083505066939
0.1,0,3,12,354.68350103661453
0.1,0,3,13,357.3115861509253
0.1,0,3,14,347.5658515468773
0.1,0,3,15,352.87705565250747
0.1,0,3,16,349.6651716644193
0.1,0,3,17,361.67696100324366
0.1,0,3,18,352.7483845839125
0.1,0,3,19,348.95190105447
0.1,0,3,20,343.7298817982289
0.1,0,3,21,352.8313149048362
0.1,0,3,22,354.0660285230206
0.1,0,3,23,359.72245466626583
0.1,0,3,24,349.2928914150402
0.1,0,3,25,354.79934751432427
0.1,0,3,26,355.35177468839356
0.1,0,3,27,362.99135256387854
0.1,0,3,28,359.84353581323114
0.1,0,3,29,350.8822574704123
0.1,2,3,0,366.91666009256096
0.1,2,3,1,346.77783215531105
0.1,2,3,2,363.46788423690975
0.1,2,3,3,359.48032644467946
0.1,2,3,4,368.8171386776505
0.1,2,3,5,338.4548593912818
0.1,2,3,6,359.76315660290646
0.1,2,3,7,362.6445860910046
0.1,2,3,8,346.1642364397418
0.1,2,3,9,353.81487026016
0.1,2,3,10,356.63847967205015
0.1,2,3,11,354.1057271967619
0.1,2,3,12,356.66615474535615
0.1,2,3,13,361.20792713518637
0.1,2,3,14,350.41335846494945
0.1,2,3,15,355.5563352564389
0.1,2,3,16,352.87658924675765
0.1,2,3,17,364.45381603824103
0.1,2,3,18,356.14784253585583
0.1,2,3,19,351.62626354641975
0.1,2,3,20,347.2482334651629
0.1,2,3,21,356.18550660021725
0.1,2,3,22,357.2505598248746
0.1,2,3,23,362.4648400102038
0.1,2,3,24,352.7862810845314
0.1,2,3,25,358.048691092343
0.1,2,3,26,357.4998252839474
0.1,2,3,27,364.86178832749545
0.1,2,3,28,361.91656662990573
0.1,2,3,29,353.5368888367513
0.1,4,3,0,366.91666009256096
0.1,4,3,1,346.77783215531105
0.1,4,3,2,363.46788423690975
0.1,4,3,3,359.48032644467946
0.1,4,3,4,368.8171386776505
0.1,4,3,5,338.4548593912818
0.1,4,3,6,359.76315660290646
0.1,4,3,7,362.6445860910046
0.1,4,3,8,346.1642364397418
0.1,4,3,9,353.81487026016
0.1,4,3,10,356.63847967205015
0.1,4,3,11,354.1057271967619
0.1,4,3,12,356.66615474535615
0.1,4,3,13,361.20792713518637
0.1,4,3,14,350.41335846494945
0.1,4,3,15,355.5563352564389
0.1,4,3,16,352.87658924675765
0.1,4,3,17,364.45381603824103
0.1,4,3,18,356.14784253585583
0.1,4,3,19,351.62626354641975
0.1,4,3,20,347.2482334651629
0.1,4,3,21,356.18550660021725
0.1,4,3,22,357.2505598248746
0.1,4,3,23,362.4648400102038
0.1,4,3,24,352.7862810845314
0.1,4,3,25,358.048691092343
0.1,4,3,26,357.4998252839474
0.1,4,3,27,364.86178832749545
0.1,4,3,28,361.91656662990573
0.1,4,3,29,353.5368888367513
0.1,6,3,0,366.91666009256096
0.1,6,3,1,346.77783215531105
0.1,6,3,2,363.46788423690975
0.1,6,3,3,359.48032644467946
0.1,6,3,4,368.8171386776505
0.1,6,3,5,338.4548593912818
0.1,6,3,6,359.76315660290646
0.1,6,3,7,362.6445860910046
0.1,6,3,8,346.1642364397418
0.1,6,3,9,353.81487026016
0.1,6,3,10,356.63847967205015
0.1,6,3,11,354.1057271967619
0.1,6,3,12,356.66615474535615
0.1,6,3,13,361.20792713518637
0.1,6,3,14,350.41335846494945
0.1,6,3,15,355.5563352564389
0.1,6,3,16,352.87658924675765
0.1,6,3,17,364.45381603824103
0.1,6,3,18,356.14784253585583
0.1,6,3,19,351.62626354641975
0.1,6,3,20,347.2482334651629
0.1,6,3,21,356.18550660021725
0.1,6,3,22,357.2505598248746
0.1,6,3,23,362.4648400102038
0.1,6,3,24,352.7862810845314
0.1,6,3,25,358.048691092343
0.1,6,3,26,357.4998252839474
0.1,6,3,27,364.86178832749545
0.1,6,3,28,361.91656662990573
0.1,6,3,29,353.5368888367513
0.1,12,3,0,366.91666009256096
0.1,12,3,1,346.77783215531105
0.1,12,3,2,363.46788423690975
0.1,12,3,3,359.48032644467946
0.1,12,3,4,368.8171386776505
0.1,12,3,5,338.4548593912818
0.1,12,3,6,359.76315660290646
0.1,12,3,7,362.6445860910046
0.1,12,3,8,346.1642364397418
0.1,12,3,9,353.81487026016
0.1,12,3,10,356.63847967205015
0.1,12,3,11,354.1057271967619
0.1,12,3,12,356.66615474535615
0.1,12,3,13,361.20792713518637
0.1,12,3,14,350.41335846494945
0.1,12,3,15,355.5563352564389
0.1,12,3,16,352.87658924675765
0.1,12,3,17,364.45381603824103
0.1,12,3,18,356.14784253585583
0.1,12,3,19,351.62626354641975
0.1,12,3,20,347.2482334651629
0.1,12,3,21,356.18550660021725
0.1,12,3,22,357.2505598248746
0.1,12,3,23,362.4648400102038
0.1,12,3,24,352.7862810845314
0.1,12,3,25,358.048691092343
0.1,12,3,26,357.4998252839474
0.1,12,3,27,364.86178832749545
0.1,12,3,28,361.91656662990573
0.1,12,3,29,353.5368888367513
0.2,0,3,0,482.4517858572742
0.2,0,3,1,455.635886811612
0.2,0,3,2,476.4058543056669
0.2,0,3,3,469.1366278424064
0.2,0,3,4,480.50389395037865
0.2,0,3,5,452.6012207168555
0.2,0,3,6,469.32197668110206
0.2,0,3,7,476.98596795418086
0.2,0,3,8,460.5845712490817
0.2,0,3,9,467.14699022388487
0.2,0,3,10,466.73152618971375
0.2,0,3,11,465.0586339595173
0.2,0,3,12,470.9058675363367
0.2,0,3,13,469.8040637135507
0.2,0,3,14,462.360359353122
0.2,0,3,15,466.7806965095615
0.2,0,3,16,467.39020055042585
0.2,0,3,17,478.4836748543517
0.2,0,3,18,468.86577856814296
0.2,0,3,19,461.96170137355983
0.2,0,3,20,457.51811854258125
0.2,0,3,21,468.93603935433293
0.2,0,3,22,469.3013323663566
0.2,0,3,23,476.0461424946606
0.2,0,3,24,465.0083692658593
0.2,0,3,25,469.76035630644407
0.2,0,3,26,468.9242941197004
0.2,0,3,27,477.86818048994377
0.2,0,3,28,474.09934940094655
0.2,0,3,29,465.69775381293715
0.2,2,3,0,492.4040812155014
0.2,2,3,1,466.9669563210528
0.2,2,3,2,483.93379750821333
0.2,2,3,3,478.70169826891333
0.2,2,3,4,491.9537147216872
0.2,2,3,5,463.61770337415044
