c,L,instance,realization,payoff
0.1,0,6,0,354.0401383596069
0.1,0,6,1,330.83020560167233
0.1,0,6,2,348.1832845323686
0.1,0,6,3,344.43235177228576
0.1,0,6,4,353.05891103160593
0.1,0,6,5,321.0183640870568
0.1,0,6,6,344.28870876176643
0.1,0,6,7,345.0732988814727
0.1,0,6,8,330.6281240337607
0.1,0,6,9,336.7585305731917
0.1,0,6,10,342.2769643813257
0.1,0,6,11,336.2982284022261
0.1,0,6,12,340.532158665042
0.1,0,6,13,347.675662420725
0.1,0,6,14,335.8115527519062
0.1,0,6,15,339.6943290606275
0.1,0,6,16,335.85633592439433
0.1,0,6,17,347.6903731466208
0.1,0,6,18,340.92672018540395
0.1,0,6,19,337.10911710472703
0.1,0,6,20,330.63787351699307
0.1,0,6,21,337.45123293218404
0.1,0,6,22,344.07744220103916
0.1,0,6,23,346.04052868856934
0.1,0,6,24,338.35844712111947
0.1,0,6,25,341.5348055084454
0.1,0,6,26,342.4010141026241
0.1,0,6,27,347.3153519649069
0.1,0,6,28,346.6988219842185
0.1,0,6,29,339.28328048274193
0.1,2,6,0,359.8910285699357
0.1,2,6,1,337.3266960999019
0.1,2,6,2,352.73535011540525
0.1,2,6,3,349.7321714813304
0.1,2,6,4,359.2950496874614
0.1,2,6,5,327.16182141678587
0.1,2,6,6,350.8479760652913
0.1,2,6,7,350.2204140224583
0.1,2,6,8,335.58613229263483
0.1,2,6,9,342.0396441397206
0.1,2,6,10,347.8380167504431
0.1,2,6,11,342.45105965144563
0.1,2,6,12,347.3193545330703
0.1,2,6,13,353.5612617931281
0.1,2,6,14,341.57071491894794
0.1,2,6,15,344.94214328470457
0.1,2,6,16,340.7908600386214
0.1,2,6,17,353.5368793445841
0.1,2,6,18,346.67405327124936
0.1,2,6,19,342.38306944500175
0.1,2,6,20,337.2176636835933
0.1,2,6,21,343.3746876199699
0.1,2,6,22,349.6253755141962
0.1,2,6,23,352.07181232836354
0.1,2,6,24,344.75349342999004
0.1,2,6,25,347.7151244040146
0.1,2,6,26,347.0626228925946
0.1,2,6,27,353.2587328121448
0.1,2,6,28,352.20256317912913
0.1,2,6,29,344.57225650668886
0.1,4,6,0,360.28350742275165
0.1,4,6,1,337.35948133138686
0.1,4,6,2,352.9681353468902
0.1,4,6,3,349.76495671281543
0.1,4,6,4,359.5278349189464
0.1,4,6,5,327.43060607705564
0.1,4,6,6,350.98980553100057
0.1,4,6,7,350.83129090560044
0.1,4,6,8,335.8610328380401
0.1,4,6,9,342.30236566280234
0.1,4,6,10,348.4176002466693
0.1,4,6,11,342.68384488293066
0.1,4,6,12,347.5400315896096
0.1,4,6,13,353.70295382946847
0.1,4,6,14,341.603500150433
0.1,4,6,15,344.57492851618963
0.1,4,6,16,340.6236452701064
0.1,4,6,17,353.5696645760691
0.1,4,6,18,347.2359091711835
0.1,4,6,19,342.72095341603256
0.1,4,6,20,337.45044891507825
0.1,4,6,21,344.00747285145485
0.1,4,6,22,349.6471363024742
0.1,4,6,23,352.10459755984857
0.1,4,6,24,344.7862786614751
0.1,4,6,25,347.54790963549965
0.1,4,6,26,347.8389144987367
0.1,4,6,27,353.6915180436298
0.1,4,6,28,352.8353484106142
0.1,4,6,29,344.8050417381738
0.1,6,6,0,360.28350742275165
0.1,6,6,1,337.35948133138686
0.1,6,6,2,352.9681353468902
0.1,6,6,3,349.76495671281543
0.1,6,6,4,359.5278349189464
0.1,6,6,5,327.43060607705564
0.1,6,6,6,350.98980553100057
0.1,6,6,7,350.83129090560044
0.1,6,6,8,335.8610328380401
0.1,6,6,9,342.30236566280234
0.1,6,6,10,348.4176002466693
0.1,6,6,11,342.68384488293066
0.1,6,6,12,347.5400315896096
0.1,6,6,13,353.70295382946847
0.1,6,6,14,341.603500150433
0.1,6,6,15,344.57492851618963
0.1,6,6,16,340.6236452701064
0.1,6,6,17,353.5696645760691
0.1,6,6,18,347.2359091711835
0.1,6,6,19,342.72095341603256
0.1,6,6,20,337.45044891507825
0.1,6,6,21,344.00747285145485
0.1,6,6,22,349.6471363024742
0.1,6,6,23,352.10459755984857
0.1,6,6,24,344.7862786614751
0.1,6,6,25,347.54790963549965
0.1,6,6,26,347.8389144987367
0.1,6,6,27,353.6915180436298
0.1,6,6,28,352.8353484106142
0.1,6,6,29,344.8050417381738
0.1,12,6,0,360.28350742275165
0.1,12,6,1,337.35948133138686
0.1,12,6,2,352.9681353468902
0.1,12,6,3,349.76495671281543
0.1,12,6,4,359.5278349189464
0.1,12,6,5,327.43060607705564
0.1,12,6,6,350.98980553100057
0.1,12,6,7,350.83129090560044
0.1,12,6,8,335.8610328380401
0.1,12,6,9,342.30236566280234
0.1,12,6,10,348.4176002466693
0.1,12,6,11,342.68384488293066
0.1,12,6,12,347.5400315896096
0.1,12,6,13,353.70295382946847
0.1,12,6,14,341.603500150433
0.1,12,6,15,344.57492851618963
0.1,12,6,16,340.6236452701064
0.1,12,6,17,353.5696645760691
0.1,12,6,18,347.2359091711835
0.1,12,6,19,342.72095341603256
0.1,12,6,20,337.45044891507825
0.1,12,6,21,344.00747285145485
0.1,12,6,22,349.6471363024742
0.1,12,6,23,352.10459755984857
0.1,12,6,24,344.7862786614751
0.1,12,6,25,347.54790963549965
0.1,12,6,26,347.8389144987367
0.1,12,6,27,353.6915180436298
0.1,12,6,28,352.8353484106142
0.1,12,6,29,344.8050417381738
0.2,0,6,0,467.78667638130514
0.2,0,6,1,441.1135842459702
0.2,0,6,2,459.3314415054027
0.2,0,6,3,455.13792289875084
0.2,0,6,4,465.01007530852394
0.2,0,6,5,435.0489889579285
0.2,0,6,6,454.3796284512731
0.2,0,6,7,456.4567037083865
0.2,0,6,8,442.4294971732214
0.2,0,6,9,447.81152181488096
0.2,0,6,10,453.76835662219787
0.2,0,6,11,447.02741469525995
0.2,0,6,12,449.3066282049259
0.2,0,6,13,459.39011437947204
0.2,0,6,14,444.67271099797165
0.2,0,6,15,450.80225254860875
0.2,0,6,16,448.7244436731488
0.2,0,6,17,460.71532397203384
0.2,0,6,18,454.1843394116322
0.2,0,6,19,449.1074276783503
0.2,0,6,20,440.75956476408055
0.2,0,6,21,449.0713925332104
0.2,0,6,22,457.49975967496255
0.2,0,6,23,456.1710423967137
0.2,0,6,24,451.6059714399438
0.2,0,6,25,451.65300033876383
0.2,0,6,26,454.21311346629955
0.2,0,6,27,457.6573289925209
0.2,0,6,28,456.83680858463197
0.2,0,6,29,450.9208754935461
0.2,2,6,0,484.95055112747536
0.2,2,6,1,460.0658451931956
0.2,2,6,2,475.60247448240625
0.2,2,6,3,470.2018894387355
0.2,2,6,4,482.4667893827824
0.2,2,6,5,452.04958167198026
0.2,2,6,6,472.87486586684986
0.2,2,6,7,473.1976454156046
0.2,2,6,8,456.9406756654089
0.2,2,6,9,462.7128820023935
0.2,2,6,10,470.9319596700767
0.2,2,6,11,465.42575464400716
0.2,2,6,12,464.6653388750335
0.2,2,6,13,475.81656138738447
0.2,2,6,14,461.55485768498227
0.2,2,6,15,466.8686442358037
0.2,2,6,16,463.31560666826044
0.2,2,6,17,478.26916849191423
0.2,2,6,18,471.3667151338806
0.2,2,6,19,465.97555494656683
0.2,2,6,20,458.5610601498536
0.2,2,6,21,467.78656877202116
0.2,2,6,22,474.7850910068863
0.2,2,6,23,469.9152874190419
0.2,2,6,24,466.8725554344585
0.2,2,6,25,469.24863294404156
0.2,2,6,26,471.08129837275715
0.2,2,6,27,473.08033629181455
0.2,2,6,28,473.83918001649147
0.2,2,6,29,466.5792248234776
0.2,4,6,0,488.6304768936046
0.2,4,6,1,463.91150050421766
0.2,4,6,2,478.53085979073126
0.2,4,6,3,475.72930110538994
0.2,4,6,4,487.08316340286615
0.2,4,6,5,456.8835356331052
0.2,4,6,6,477.03190802606184
0.2,4,6,7,478.11004602041635
0.2,4,6,8,462.65661777195135
0.2,4,6,9,467.27268676014467
0.2,4,6,10,475.63673707805947
0.2,4,6,11,469.4523945626472
0.2,4,6,12,468.5181567426979
0.2,4,6,13,478.91642688268405
0.2,4,6,14,466.4180527685472
0.2,4,6,15,470.8397076671931
0.2,4,6,16,466.5152018184775
0.2,4,6,17,482.6506059577846
0.2,4,6,18,476.5487892400988
0.2,4,6,19,469.373319280906
0.2,4,6,20,463.88854844940136
0.2,4,6,21,472.98090526254134
0.2,4,6,22,479.40331831573883
0.2,4,6,23,473.1311936930874
0.2,4,6,24,471.20745357703163
0.2,4,6,25,472.10405208128566
0.2,4,6,26,475.2929257118061
0.2,4,6,27,477.6816025312871
0.2,4,6,28,476.65860221533103
0.2,4,6,29,470.81538086155194
0.2,6,6,0,489.6507928037334
0.2,6,6,1,464.12363346526064
0.2,6,6,2,479.5429927517742
0.2,6,6,3,475.2253836441383
0.2,6,6,4,487.24019291145254
0.2,6,6,5,456.65968142922554
0.2,6,6,6,477.07060589063815
0.2,6,6,7,477.5485776400969
0.2,6,6,8,462.0687507329944
0.2,6,6,9,467.48481972118765
0.2,6,6,10,476.32817136965383
0.2,6,6,11,469.64279290767047
0.2,6,6,12,467.93028970374087
0.2,6,6,13,479.52855984372695
0.2,6,6,14,466.4304996147007
0.2,6,6,15,471.8518406282361
0.2,6,6,16,466.6845605313971
0.2,6,6,17,483.3382710800809
0.2,6,6,18,477.4173679122552
0.2,6,6,19,470.0210384502812
0.2,6,6,20,464.5196087300078
0.2,6,6,21,474.3930382235843
0.2,6,6,22,479.6194751785901
0.2,6,6,23,473.1822016828389
0.2,6,6,24,471.2909149484163
0.2,6,6,25,473.1161850423286
0.2,6,6,26,474.79313012017326
0.2,6,6,27,478.256689804994
0.2,6,6,28,476.98389760334527
0.2,6,6,29,470.2850501069291
0.2,12,6,0,490.0781614783223
0.2,12,6,1,464.48206153720264
0.2,12,6,2,480.16414700287373
0.2,12,6,3,475.9270257073264
0.2,12,6,4,488.26094343625596
0.2,12,6,5,457.084305727554
0.2,12,6,6,477.2097469746658
0.2,12,6,7,478.0603500493743
0.2,12,6,8,462.1844365755346
0.2,12,6,9,468.2432477931296
0.2,12,6,10,477.4865994415959
0.2,12,6,11,470.43350867458867
0.2,12,6,12,468.81671956051866
0.2,12,6,13,479.78077441674225
0.2,12,6,14,466.78892768664275
0.2,12,6,15,472.61026870017815
0.2,12,6,16,467.8429886033391
0.2,12,6,17,484.096699152023
0.2,12,6,18,477.7943148286015
0.2,12,6,19,470.4873399309654
0.2,12,6,20,464.67148736635306
0.2,12,6,21,474.75146629552626
0.2,12,6,22,479.9779032505321
0.2,12,6,23,473.66218953587725
0.2,12,6,24,472.0326090473219
0.2,12,6,25,473.4746131142706
0.2,12,6,26,475.85506350245475
0.2,12,6,27,478.92887075919737
0.2,12,6,28,477.629163248316
0.2,12,6,29,470.2434781788711
0.3,0,6,0,588.0413705866072
0.3,0,6,1,560.7382136515748
0.3,0,6,2,578.5669949506673
0.3,0,6,3,575.2415616991702
0.3,0,6,4,586.7486217877733
0.3,0,6,5,559.0834065191691
0.3,0,6,6,574.4904083501287
0.3,0,6,7,578.5790001302753
0.3,0,6,8,561.3710033380172
0.3,0,6,9,567.3015347522231
0.3,0,6,10,574.4733061217303
0.3,0,6,11,567.8476710285314
0.3,0,6,12,566.8592454403226
0.3,0,6,13,577.5400752272196
0.3,0,6,14,565.7931726962713
0.3,0,6,15,570.3259899684405
0.3,0,6,16,570.4536167225017
0.3,0,6,17,581.8794114147748
0.3,0,6,18,575.5161312067617
0.3,0,6,19,569.0146521938685
0.3,0,6,20,559.392046882726
0.3,0,6,21,569.5531655214515
0.3,0,6,22,580.1351065229981
0.3,0,6,23,574.8603978959187
0.3,0,6,24,573.8522612431284
0.3,0,6,25,571.185661841861
0.3,0,6,26,577.6201986993162
0.3,0,6,27,578.4381382575195
0.3,0,6,28,574.9563454815091
0.3,0,6,29,571.624825122272
0.3,2,6,0,617.5742509611708
0.3,2,6,1,595.2600861425694
0.3,2,6,2,605.8137053359786
0.3,2,6,3,602.5046935942357
0.3,2,6,4,617.8552168334074
0.3,2,6,5,589.9762384461983
0.3,2,6,6,607.986292280317
0.3,2,6,7,611.1554684169064
0.3,2,6,8,592.4456174368477
0.3,2,6,9,595.3619980443993
0.3,2,6,10,603.0905071608332
0.3,2,6,11,601.4033795609071
0.3,2,6,12,595.3774024044219
0.3,2,6,13,608.7052008618566
0.3,2,6,14,598.26231252573
0.3,2,6,15,597.9420451891617
0.3,2,6,16,597.9051802788733
0.3,2,6,17,609.4151257115712
0.3,2,6,18,605.2716312520008
0.3,2,6,19,596.0518585754589
0.3,2,6,20,591.4510355618982
0.3,2,6,21,602.6849002129095
0.3,2,6,22,610.5011402349166
0.3,2,6,23,600.2637169148054
0.3,2,6,24,600.7491882448245
0.3,2,6,25,598.5686816257701
0.3,2,6,26,607.0079288019182
0.3,2,6,27,606.9508312087384
