c,L,instance,realization,payoff
0.1,0,10,0,369.87493208840476
0.1,0,10,1,349.6874632094605
0.1,0,10,2,366.74564464436446
0.1,0,10,3,366.2729521657078
0.1,0,10,4,370.26689104145925
0.1,0,10,5,339.57824711694417
0.1,0,10,6,363.5922994900797
0.1,0,10,7,364.5758916859305
0.1,0,10,8,349.18715953407195
0.1,0,10,9,357.25532111509483
0.1,0,10,10,360.2105485052151
0.1,0,10,11,355.91006341193213
0.1,0,10,12,359.69445107541355
0.1,0,10,13,364.6478476967616
0.1,0,10,14,355.8566671373434
0.1,0,10,15,358.6617979772923
0.1,0,10,16,354.2873779411261
0.1,0,10,17,367.9326466351396
0.1,0,10,18,357.0135051562762
0.1,0,10,19,356.2343539433782
0.1,0,10,20,349.7200630319145
0.1,0,10,21,356.0383726037692
0.1,0,10,22,361.70511323265794
0.1,0,10,23,365.84036317296216
0.1,0,10,24,355.41093618218133
0.1,0,10,25,363.2769063310245
0.1,0,10,26,362.1198371284871
0.1,0,10,27,367.31989358946305
0.1,0,10,28,366.81263020458505
0.1,0,10,29,359.03891317167114
0.1,2,10,0,373.35154247200023
0.1,2,10,1,352.04171676290343
0.1,2,10,2,369.4023200675755
0.1,2,10,3,370.0969424064474
0.1,2,10,4,372.9772055211401
0.1,2,10,5,343.181259558942
0.1,2,10,6,366.6058932085368
0.1,2,10,7,367.831790307084
0.1,2,10,8,351.7916356090579
0.1,2,10,9,360.04418642741393
0.1,2,10,10,363.25310761367564
0.1,2,10,11,359.5626955313945
0.1,2,10,12,363.07131179985544
0.1,2,10,13,368.05653563549686
0.1,2,10,14,359.75764790029075
0.1,2,10,15,361.21292207136594
0.1,2,10,16,356.92577004314194
0.1,2,10,17,371.39572410376724
0.1,2,10,18,359.1168595256979
0.1,2,10,19,360.5982488281005
0.1,2,10,20,352.6850276214638
0.1,2,10,21,359.35933861470915
0.1,2,10,22,365.19099442932225
0.1,2,10,23,368.1763707507273
0.1,2,10,24,358.6625968589973
0.1,2,10,25,366.05662301873036
0.1,2,10,26,365.8088097237836
0.1,2,10,27,370.48708650122126
0.1,2,10,28,368.8461442123954
