c,L,instance,realization,payoff
0.2,12,1,7,497.58366209242786
0.2,12,1,8,481.36862617091776
0.2,12,1,9,493.72237980786826
0.2,12,1,10,494.79408277116295
0.2,12,1,11,489.9762439969593
0.2,12,1,12,491.810591991843
0.2,12,1,13,495.48277628033554
0.2,12,1,14,487.92447838610246
0.2,12,1,15,484.6017321059784
0.2,12,1,16,486.89324314824137
0.2,12,1,17,502.3428534791435
0.2,12,1,18,494.14201171267234
0.2,12,1,19,490.9854986152118
0.2,12,1,20,483.85006924726406
0.2,12,1,21,496.1883666171701
0.2,12,1,22,498.3777989894187
0.2,12,1,23,498.2700743940526
0.2,12,1,24,496.2022645169882
0.2,12,1,25,493.4107418595901
0.2,12,1,26,496.41126604017563
0.2,12,1,27,497.81627754155784
0.2,12,1,28,497.52909066886093
0.2,12,1,29,494.6789414261689
0.3,0,1,0,613.5439626302485
0.3,0,1,1,587.7578726264478
0.3,0,1,2,603.859809813881
0.3,0,1,3,595.6819378350989
0.3,0,1,4,612.7440239470687
0.3,0,1,5,581.2601892325517
0.3,0,1,6,594.61382642676
0.3,0,1,7,604.3239783012526
0.3,0,1,8,586.979693366714
0.3,0,1,9,596.1278737209072
0.3,0,1,10,598.1944834692862
0.3,0,1,11,595.210660265692
0.3,0,1,12,593.5906406078002
0.3,0,1,13,598.2924230552927
0.3,0,1,14,587.8214590640545
0.3,0,1,15,585.8332593269315
0.3,0,1,16,591.7798328784219
0.3,0,1,17,606.6037102232452
0.3,0,1,18,596.9207568275908
0.3,0,1,19,594.5025660716243
0.3,0,1,20,585.0302716543148
0.3,0,1,21,602.3606025257949
0.3,0,1,22,600.414847974596
0.3,0,1,23,602.9570863046546
0.3,0,1,24,600.5287406592498
0.3,0,1,25,598.6045677331242
0.3,0,1,26,601.714589805714
0.3,0,1,27,599.629930623263
0.3,0,1,28,600.8585333256656
0.3,0,1,29,598.9275353319366
0.3,2,1,0,642.478479279059
0.3,2,1,1,610.1739297292254
0.3,2,1,2,624.8263262816552
0.3,2,1,3,624.1653695082441
0.3,2,1,4,639.3297828164641
0.3,2,1,5,606.7462853278487
0.3,2,1,6,619.3821471859558
0.3,2,1,7,629.4507911708768
0.3,2,1,8,609.7944525366328
0.3,2,1,9,623.8979029653744
0.3,2,1,10,625.2737007254583
0.3,2,1,11,621.8980991726407
0.3,2,1,12,621.1100120836302
0.3,2,1,13,627.8352394569858
0.3,2,1,14,619.8731212662092
0.3,2,1,15,608.6644014610213
0.3,2,1,16,615.0537207656803
0.3,2,1,17,633.389377328263
0.3,2,1,18,623.7885116951941
0.3,2,1,19,619.2477034779051
0.3,2,1,20,618.6688841561838
0.3,2,1,21,626.3369897439875
0.3,2,1,22,627.5371784774507
0.3,2,1,23,631.038432440957
0.3,2,1,24,630.5352241334025
0.3,2,1,25,619.9174363141938
0.3,2,1,26,629.1214568570567
0.3,2,1,27,628.6542268826164
0.3,2,1,28,627.847294757701
0.3,2,1,29,629.5477435356313
0.3,4,1,0,648.7685850251785
0.3,4,1,1,619.5760763310693
0.3,4,1,2,632.347336923644
0.3,4,1,3,632.4142774247517
0.3,4,1,4,644.3414749840142
0.3,4,1,5,612.7609815049422
0.3,4,1,6,629.1440106098673
0.3,4,1,7,635.5406462854914
0.3,4,1,8,617.3179603873575
0.3,4,1,9,632.1439803652047
0.3,4,1,10,634.7599968861296
0.3,4,1,11,627.4778332150058
0.3,4,1,12,628.2030964340927
0.3,4,1,13,631.1380960192305
0.3,4,1,14,626.1987832385723
0.3,4,1,15,615.2191450050323
0.3,4,1,16,623.6225805136211
0.3,4,1,17,639.7049994893998
0.3,4,1,18,632.5289306185402
0.3,4,1,19,626.7789613537038
0.3,4,1,20,624.9513757165655
0.3,4,1,21,633.8121008791265
0.3,4,1,22,634.7549987267045
0.3,4,1,23,639.8888573849779
0.3,4,1,24,636.2824314071679
0.3,4,1,25,627.0360513558037
0.3,4,1,26,634.982562468475
0.3,4,1,27,635.0937355232426
0.3,4,1,28,636.8886870707216
0.3,4,1,29,635.293381565798
0.3,6,1,0,653.1553615086402
0.3,6,1,1,621.8180426040144
0.3,6,1,2,637.9661743403664
0.3,6,1,3,636.1536579797282
0.3,6,1,4,650.6620103191748
0.3,6,1,5,615.6061365433933
0.3,6,1,6,629.3382486594146
0.3,6,1,7,639.5543457761021
0.3,6,1,8,620.0362447516657
0.3,6,1,9,636.9867894624267
0.3,6,1,10,636.4993098761871
0.3,6,1,11,630.8567482712731
0.3,6,1,12,632.890657256102
0.3,6,1,13,634.3835858867548
0.3,6,1,14,629.4970106397946
0.3,6,1,15,618.4423153577407
0.3,6,1,16,626.9209691057071
0.3,6,1,17,647.2217483783901
0.3,6,1,18,634.8159128776233
0.3,6,1,19,630.0881606901003
0.3,6,1,20,627.3636386187184
0.3,6,1,21,636.9311940405979
0.3,6,1,22,638.6466768642321
0.3,6,1,23,641.7056129336946
0.3,6,1,24,639.5245160261884
0.3,6,1,25,630.5003802140722
0.3,6,1,26,641.4328257551456
0.3,6,1,27,637.5328664663839
0.3,6,1,28,643.0306911227833
0.3,6,1,29,639.6356762146306
0.3,12,1,0,659.1759155715812
0.3,12,1,1,628.8536575961873
0.3,12,1,2,643.8098632668452
0.3,12,1,3,641.9013617309959
0.3,12,1,4,656.4840026593581
0.3,12,1,5,622.5653956860547
0.3,12,1,6,635.4797934612485
0.3,12,1,7,643.9966801980715
0.3,12,1,8,626.1352355723537
0.3,12,1,9,641.7174953009014
0.3,12,1,10,640.5954595847287
0.3,12,1,11,635.8435000423948
0.3,12,1,12,637.8297581305605
0.3,12,1,13,639.316515404545
0.3,12,1,14,636.1223716476911
0.3,12,1,15,623.4097613011785
0.3,12,1,16,633.5575954856677
0.3,12,1,17,651.8800542958988
0.3,12,1,18,641.0203050315939
0.3,12,1,19,636.3744616745923
0.3,12,1,20,635.1842281658567
0.3,12,1,21,641.8720776908506
0.3,12,1,22,644.2945685038796
0.3,12,1,23,646.6497707992542
0.3,12,1,24,646.5100937174813
0.3,12,1,25,637.8219576277868
0.3,12,1,26,646.6337679486503
0.3,12,1,27,642.9578729610823
0.3,12,1,28,648.1452773597375
0.3,12,1,29,645.6488853960652
